Degree,Institution,Graduation Year,Experience (Companies),Skills
M.Tech,"Lewis, Mcdonald and Page",2016,Lara-Hart; Santos-Andersen,"DevOps, Deep Learning, Cybersecurity, Web Development, Machine Learning"
MBA,"Vance, Anderson and Wallace",2017,Cantrell-Vargas; Lucero-Roberts,"Web Development, Cybersecurity, Project Management, Python"
M.Tech,Taylor-King,2023,"Wilson and Sons; Williams-Cox; Alvarez, Duncan and Ford; Holloway-Ruiz","Mobile Development, Web Development, Deep Learning, Python, DevOps, Blockchain"
MBA,Thompson-Cooper,2007,"Ponce, Hughes and Stuart; Hawkins-Acosta; Sparks-Knight; Fowler PLC; King Ltd","Python, DevOps, Project Management, SQL"
M.Tech,"Johnson, Walker and Fisher",2019,Foster-Stokes; Obrien Group; Gallegos and Sons; Gregory-Diaz,"Python, Deep Learning, Cloud Computing, Project Management, Mobile Development, Cybersecurity, C++"
B.Sc,Perez-Johnson,2014,"Evans, Randolph and Harris; King-Watson; Spencer, Shannon and Larsen","SQL, AI, DevOps, Python, Java, C++, Blockchain"
MBA,Singh-Ortiz,2002,"Jenkins-Ray; Young, Young and Stevens; Acevedo and Sons; Johnson, Taylor and Davis","AI, Blockchain, Cloud Computing, Web Development, Cybersecurity"
MBA,"Black, Wilson and Carpenter",2013,Kaufman and Sons,"AI, Java, Cybersecurity, Machine Learning, SQL"
PhD,Lopez-Johnson,2013,Cohen Ltd; Valentine-Carter,"Machine Learning, Java, Project Management, Python"
Diploma,"Hill, Bond and Price",2005,Knapp PLC; Hamilton-White,"AI, C++, Machine Learning, DevOps, Cloud Computing, Python"
M.Tech,Brooks-Johnson,2016,"Fernandez-Underwood; Frazier, Sims and Bailey","Python, Project Management, Cybersecurity, Machine Learning"
Diploma,Spencer Ltd,2003,"Marshall, Adams and Oconnor; Harris-Hall; Smith-Brown","C++, Mobile Development, Project Management, Python, DevOps"
B.Tech,"Conley, Juarez and Williams",2015,"Cisneros PLC; Meyer and Sons; Hubbard-Lopez; Stewart, Clark and Schmidt","Machine Learning, Cloud Computing, SQL, AI, C++, Data Analysis"
M.Tech,Martin-Reed,2010,Jones PLC; Lambert-Davis,"Blockchain, Project Management, SQL, Java, Data Analysis"
M.Sc,"Hernandez, Anderson and Harris",2020,"Smith, Brown and Williams; Cervantes, Ramos and Aguirre; Sampson-Moore","Deep Learning, Cybersecurity, Python, Web Development"
B.Tech,Cochran-White,2017,"Patterson-Jacobs; Meyer, Weaver and Brooks; Shelton LLC; Finley, Mclean and Smith","Deep Learning, Cybersecurity, SQL, Cloud Computing, Project Management"
B.Tech,Saunders-Lee,2007,Mcconnell and Sons; Cain-West; Brandt Inc; Meza LLC; Logan and Sons,"Java, C++, Data Analysis, Machine Learning, Project Management, Deep Learning, Blockchain"
B.Tech,Osborne Inc,2021,Lee and Sons; Williams-Lowery,"Machine Learning, Blockchain, Cloud Computing, Deep Learning, SQL, Web Development, Python"
MBA,"Harrison, Sherman and Collins",2003,"Morgan, Robinson and Roberts; Hamilton Ltd; Roberts, George and Copeland; Booth PLC","Web Development, Mobile Development, Blockchain, Cybersecurity, Project Management, Cloud Computing"
MBA,"Palmer, Joseph and Wilson",2012,"Harris PLC; Cross-Smith; Oneal, Hess and Quinn; Gonzalez Inc","Java, Deep Learning, SQL, Machine Learning"
B.Sc,Flores-Keller,2010,"Barry-Long; King, Johnson and Brown; Smith, Williams and Calhoun; Martinez, Fisher and Krueger; Nelson, Porter and Williams","Java, C++, Machine Learning, Data Analysis, DevOps, Python"
Diploma,Morton and Sons,2016,"Alvarez, Singleton and Garrison","Web Development, Machine Learning, Deep Learning, Cybersecurity, Blockchain, SQL, Python"
B.Tech,Gray Group,2005,"Jones, Hatfield and Singleton; Lynch, Mason and Pacheco; Newman Group; Barton Inc","Cybersecurity, Python, Data Analysis, Project Management, Machine Learning, Java"
Diploma,Hampton Group,2015,"Russell PLC; Martinez-Phillips; Levine PLC; Santos, Baker and Richard","Blockchain, Machine Learning, AI, Web Development"
B.Tech,Harvey-Williams,2024,"Chapman, Munoz and Ellison; Gonzalez-Cole; Fisher-Nguyen","Deep Learning, Machine Learning, Mobile Development, Cybersecurity, SQL, C++, Project Management"
PhD,Decker-Williams,2012,Powers Inc,"Deep Learning, Web Development, AI, Cybersecurity, DevOps, SQL, Blockchain"
Diploma,Mahoney-Arroyo,2003,"Woods Ltd; Perez, Mathews and Brown","Project Management, SQL, Python, Cybersecurity"
B.Tech,Wright-Oneal,2009,Chan-Patton; Farley PLC; Hunt-Tanner; Kidd Group; Brown Inc,"Data Analysis, Web Development, AI, SQL, Project Management, Cloud Computing, Python"
B.Sc,Ross and Sons,2005,"Werner, Vaughn and Wade; White-Oliver; Hall-Ortiz; Kennedy, Adams and Stewart","Web Development, Machine Learning, Cybersecurity, Java"
Diploma,Gonzalez Group,2009,"Delgado-Graves; Fischer Group; Wood, Hahn and Gibson; Horton PLC; Castro-Jones","Web Development, Machine Learning, Python, Java, AI, Project Management"
M.Sc,"Patterson, Holder and Clayton",2010,"Jimenez-Fletcher; Moore, Green and Barton; Robertson Ltd","Project Management, Machine Learning, Blockchain, Web Development, Java"
Diploma,Daniel-Nielsen,2017,"Bryant, Ross and Mora; Webster, Little and Johnson; Stewart-Walls","Cloud Computing, Deep Learning, Java, Blockchain"
PhD,Brown-Beard,2014,"Durham, Cardenas and Boyd; Stephens Group; Frank Ltd","DevOps, Python, Machine Learning, SQL, C++"
B.Tech,"Parker, Lawrence and Taylor",2001,"Duncan, Marsh and White; Roach-Johnson","Java, DevOps, Project Management, C++, Blockchain, Web Development"
Diploma,Bush LLC,2013,"Lopez, Wheeler and Morales; Brown LLC; Webb, Fleming and Arnold","Java, Python, SQL, Cybersecurity"
B.Tech,Sherman Ltd,2000,Gross and Sons,"C++, DevOps, Mobile Development, SQL, Project Management"
B.Sc,Mccarthy Ltd,2004,"Lloyd-Horton; Archer, Jackson and Good; Diaz, Bradley and Rodriguez","Project Management, DevOps, Java, Deep Learning, Web Development"
B.Sc,Martinez-Stevens,2007,"Adams, Marshall and Kramer; Keller and Sons","Web Development, DevOps, Cybersecurity, Blockchain, Deep Learning"
PhD,Thomas Inc,2003,"Barrett-Malone; Contreras, Williams and Day; Walton and Sons; Haynes, Huerta and Tapia; Sweeney, Wang and Adams","Web Development, DevOps, Machine Learning, Data Analysis, Cloud Computing"
M.Tech,"Zhang, Waller and Dean",2022,"Kim, Chen and Robinson; Carroll Group; Martin, Lopez and Lewis; Lester, Johnson and Alexander; Allen Group","Machine Learning, Cybersecurity, DevOps, Cloud Computing, Java, C++, Deep Learning"
MBA,"Frey, Walters and Castillo",2013,"Ellis, Ellis and Smith; Harrington-Adams; Joyce, Patel and Wolfe; Combs, Cochran and Andrews","AI, DevOps, Cloud Computing, Deep Learning, Project Management, C++"
Diploma,Perkins PLC,2016,"Brown-Landry; Martin, Becker and Barnett","Cloud Computing, SQL, Cybersecurity, Machine Learning, AI, Data Analysis"
PhD,"Huynh, Hurst and Tucker",2020,Giles and Sons,"C++, Mobile Development, Java, SQL, Project Management, Python"
B.Sc,Alvarez-Oneal,2001,"Guzman Inc; Aguirre, Olson and Wilcox; Price-Elliott; Johnson-Brown","Web Development, Java, Cybersecurity, Mobile Development"
M.Tech,Villa-Davis,2021,Horn PLC; Haley-Howard,"Cybersecurity, SQL, Java, Mobile Development, Data Analysis, Machine Learning, Deep Learning"
PhD,Lucas Inc,2014,Jones PLC,"Cybersecurity, DevOps, Mobile Development, Blockchain, Cloud Computing"
MBA,Chambers-Hernandez,2008,"Myers, Smith and Ramsey","Machine Learning, SQL, Web Development, Project Management, Cybersecurity"
PhD,Walker-Clark,2010,"Thompson, Adkins and Stanley; Jones-Houston; Kirk and Sons; Lopez-Baker; Johnson, Meyers and Hill","C++, Machine Learning, Blockchain, SQL, Web Development, Cloud Computing"
M.Sc,Liu-Jacobs,2014,Jones-Jacobson,"Mobile Development, C++, AI, Data Analysis, Blockchain, Project Management, SQL"
M.Tech,Irwin LLC,2004,"Lewis-Gonzalez; Perry, Jimenez and Gomez","Machine Learning, Java, Project Management, Deep Learning"
M.Sc,"Castro, Moore and Andrews",2021,"Cruz, Huynh and Johnson; Rodriguez, Hayes and Esparza; Mills-Scott; Campbell-Cox; Greene, Norris and Andrade","Blockchain, Cloud Computing, C++, Mobile Development, Machine Learning, Python, SQL"
M.Sc,Russo LLC,2002,"Payne Ltd; Carpenter, Williams and Palmer; Evans, Acosta and Ford; Walker PLC","Web Development, Deep Learning, Java, C++, Cloud Computing"
M.Tech,"Dodson, Peterson and Massey",2002,Martinez PLC; Mcbride and Sons; Buck LLC,"Mobile Development, Machine Learning, Blockchain, Deep Learning, Web Development, Cloud Computing"
B.Tech,"Brown, Bennett and Hines",2005,"Gordon and Sons; Cummings, Olson and Alvarez; White-Lewis","SQL, Project Management, Data Analysis, Machine Learning, Cybersecurity, DevOps"
MBA,Hall-Brown,2006,Moody Group,"SQL, Python, DevOps, Blockchain, Cybersecurity, Cloud Computing, Machine Learning"
B.Tech,Fitzpatrick LLC,2005,"Brown and Sons; Chang-Diaz; Holt Inc; Johnson-Cooke; Stein, Hernandez and Cox","Cloud Computing, Machine Learning, C++, Project Management, Web Development, Java, Mobile Development"
B.Tech,Gill Inc,2006,"Griffin Group; Robinson, Kelly and Rocha; Watson, Cook and Henderson","Project Management, Data Analysis, AI, DevOps, Web Development, Cybersecurity"
MBA,Shields-Obrien,2015,"Kane, Bowman and Anderson; Washington-Campbell","Python, SQL, Project Management, Cloud Computing, C++, Blockchain, AI"
Diploma,Rogers Group,2013,"Morrow, Miranda and Stewart; Taylor PLC; Turner, Collins and Hernandez; Rose, Thompson and Martinez","Java, Project Management, SQL, Web Development, Deep Learning, C++, Cybersecurity"
B.Tech,"Daniel, Ryan and Williams",2007,"Brown-Marsh; Krause, Floyd and Cunningham","AI, SQL, DevOps, Java, Project Management"
M.Sc,"Ellis, Gordon and Brown",2022,"Moore, Zuniga and Murray; Taylor-Campbell; Perez, Jensen and Adams; Torres Inc; Vasquez, Rogers and Freeman","Data Analysis, DevOps, Cybersecurity, Mobile Development"
M.Tech,"Esparza, Rivas and Moore",2006,"Brown, Cooper and Cook","Machine Learning, Project Management, Blockchain, C++"
Diploma,"Gomez, Nichols and Hensley",2024,"Griffin-Cruz; Ortiz, Brown and Evans; Munoz-Meza","Deep Learning, DevOps, Cybersecurity, C++, SQL, Python"
MBA,"Weiss, Dominguez and Miller",2021,"Gray-Gordon; Moore Inc; Morgan-Thornton; Navarro, Murphy and Ho; Dennis-Wang","DevOps, Project Management, Web Development, Cybersecurity, Machine Learning, Data Analysis, Mobile Development"
MBA,"Smith, Brock and Bass",2001,Coleman-Molina; White PLC,"Python, DevOps, AI, SQL, Blockchain, Deep Learning, Machine Learning"
MBA,Jacobson Inc,2001,Rojas-Anthony,"C++, DevOps, Java, Data Analysis, Cybersecurity"
M.Tech,Estrada Group,2022,Hart LLC,"C++, SQL, AI, Web Development, Data Analysis, Blockchain, Mobile Development"
B.Sc,"Baker, Martin and Coleman",2003,"Long PLC; Jordan, Gates and Fitzpatrick; Carpenter, Young and Weber; Weaver Ltd","DevOps, SQL, Web Development, Machine Learning"
M.Tech,Kelly PLC,2012,Gray-Beltran; Irwin-Gentry; Mccarty PLC,"Java, Machine Learning, AI, DevOps"
MBA,Villanueva-Fernandez,2000,Silva-Liu; Ponce Group; Willis-Ramirez,"Python, DevOps, SQL, Blockchain, Mobile Development"
PhD,Velazquez-Hill,2011,"Mann and Sons; Gonzalez, Sanchez and Robinson; Sexton-Santos","C++, Deep Learning, Cloud Computing, Machine Learning, Blockchain, Project Management"
PhD,"Herrera, Howard and Miller",2024,"Park, Carson and Clark; Hammond, Schaefer and Hernandez","SQL, Java, Data Analysis, DevOps, Machine Learning, Mobile Development, C++"
Diploma,Tucker Inc,2024,"Burgess-James; Butler, Smith and Bradley","Cloud Computing, Data Analysis, Machine Learning, Cybersecurity"
M.Tech,"Luna, Harrington and Knight",2022,"Conley Ltd; Collier, Wilson and Villarreal; Rollins Group; Adams Ltd","Data Analysis, DevOps, Java, Python"
M.Tech,Parsons Group,2014,"Williams-Miranda; Stone, Reed and Yates; Diaz-Huerta","Cybersecurity, SQL, Deep Learning, DevOps, C++, Python, Machine Learning"
Diploma,"Carpenter, Garcia and Bishop",2010,"Mahoney LLC; Barr-Thomas; Carter LLC; Guzman, Patel and Anderson; Daniels-Thomas","Java, Web Development, Deep Learning, Project Management, C++"
M.Tech,Mcguire LLC,2000,"Everett Inc; Ryan, James and Sullivan","C++, Blockchain, AI, Web Development, Cybersecurity"
B.Tech,Kim-Mckinney,2021,"Lewis, Baldwin and Blevins; Johnson-Holland; Hamilton Inc; Ashley, Powers and Anderson","Java, Project Management, Mobile Development, Machine Learning, Deep Learning, Data Analysis"
M.Sc,Conner-Montgomery,2002,"Rose, Whitaker and Curry; Braun Inc; Smith-Cooper; Brown-Hernandez; Meyers-Short","DevOps, Mobile Development, Machine Learning, AI"
M.Tech,Bullock and Sons,2023,"Olson-Fuller; Harris, Morrow and Campos; Chapman, Garcia and Davies; Chen, Richmond and Hicks","AI, SQL, DevOps, C++, Web Development, Cloud Computing, Java"
B.Sc,"Burns, Baxter and Parks",2009,"Schneider-Powers; Wagner, Mitchell and Horton; Hall-Sloan","Blockchain, Data Analysis, Mobile Development, AI, Cybersecurity, Web Development, DevOps"
M.Sc,Smith Group,2019,"Harris, Carpenter and Burns; Mcclain PLC; Allen-Diaz; Nunez-Vazquez; Alexander, Smith and Carroll","Cloud Computing, Data Analysis, AI, DevOps"
MBA,Dorsey LLC,2003,"Willis-Bolton; West-Bell; Banks, Matthews and Wolf; Smith PLC; Flynn LLC","DevOps, Machine Learning, AI, C++, Blockchain, Python, Deep Learning"
M.Tech,Ellison-Orr,2014,"Castillo, Walsh and Villanueva; Pierce, Young and Hodge; Guerrero-Barajas; Flores-Thomas","Machine Learning, Web Development, C++, Cybersecurity, Cloud Computing, SQL, AI"
M.Tech,"Fox, Maldonado and Conley",2016,Conner-Howard,"DevOps, Python, Mobile Development, Project Management, SQL, C++"
M.Sc,"Butler, Curtis and Thomas",2013,"Bryant, Williams and Ross","Mobile Development, Cloud Computing, Data Analysis, Python, Deep Learning, AI"
M.Tech,"Rice, Rivera and Bowman",2005,Phillips-Schmidt; Orozco Inc; Stephenson-Weaver,"Deep Learning, Project Management, Java, Mobile Development, Web Development"
PhD,"Armstrong, Rivers and Franklin",2021,"Rodriguez, Montgomery and Smith","Java, Data Analysis, Python, Mobile Development, Project Management, SQL"
M.Tech,Stafford-Vega,2016,"Lucas-Mason; Allen and Sons; Walton, Andrade and Martin; Calderon-Hernandez","C++, Java, DevOps, Blockchain, Mobile Development, Deep Learning, SQL"
Diploma,Stevens-Swanson,2010,Kennedy-Hernandez,"Cybersecurity, Data Analysis, Machine Learning, DevOps, AI"
PhD,"Garcia, Delgado and Sanders",2018,"Flores LLC; Padilla, Moore and Reeves; Johnson Inc; Thomas Group; Burgess, Hoffman and Garcia","Java, Blockchain, Cloud Computing, Deep Learning"
M.Sc,Johnson-Myers,2014,"Ruiz, Russell and King; Brown, Booth and Welch; Hayes-Goodwin; Hogan, Franklin and Macias","Machine Learning, Blockchain, Cloud Computing, Python, AI"
MBA,Espinoza-Diaz,2012,"Fernandez-Bates; James-Cummings; Bautista, Brooks and Cook; Gallagher and Sons","Machine Learning, C++, Data Analysis, Cloud Computing"
M.Sc,Cunningham Ltd,2004,Sullivan Group; Ruiz LLC,"Deep Learning, Machine Learning, C++, Cloud Computing, Cybersecurity"
B.Tech,"Stafford, Strickland and Reed",2018,"Hayes, Mann and Holmes; Molina PLC","Python, AI, Project Management, Machine Learning, DevOps, Java, Data Analysis"
M.Sc,Wilcox-Reynolds,2020,Lozano Inc; Oconnor PLC; Myers and Sons,"Web Development, Project Management, Mobile Development, Cybersecurity"
Diploma,Foster Inc,2000,Dillon PLC; Joseph-Martin; Rodriguez-Rice; Nash Ltd,"Machine Learning, Deep Learning, C++, Mobile Development, AI, Blockchain, Java"
M.Tech,Berry-Wise,2017,"Hale-Higgins; Erickson, Warner and Yang","Web Development, Blockchain, Java, C++, Machine Learning, DevOps"
M.Tech,"Bender, Castillo and Guerrero",2021,"Escobar-Galvan; Skinner, Carr and Palmer; Malone Inc; Johnson, Waller and Hughes","Cybersecurity, Data Analysis, Project Management, DevOps, SQL, Web Development, C++"
Diploma,"Carr, Matthews and Sosa",2012,Meyer PLC; Chen Group; Hoover-Fisher; Lee Group,"SQL, Mobile Development, Cybersecurity, Project Management, DevOps, Java"
M.Sc,King-Blankenship,2009,"Owens, Carter and Patterson; Cohen-Lewis","Cybersecurity, Data Analysis, SQL, Cloud Computing"
Diploma,"Schneider, Aguirre and Nelson",2011,"Vasquez, Walsh and Juarez; Conley, Parks and Thompson","SQL, DevOps, Project Management, Blockchain, AI, Cybersecurity"
B.Sc,Donovan LLC,2014,Lewis Ltd,"Deep Learning, Data Analysis, Java, AI, Cloud Computing, Machine Learning, C++"
PhD,Schwartz-Kelly,2013,"Church-Foster; Scott, Mclean and Jacobs; Ward Inc","Data Analysis, Python, Cybersecurity, Blockchain"
B.Sc,Roth-Tate,2001,Hopkins and Sons; Fleming-Edwards; Preston LLC; Finley-Rowe,"Machine Learning, Web Development, SQL, C++, Blockchain"
B.Sc,"Hill, Bennett and Rogers",2001,"Stokes, Johnson and Brown; Potter-Diaz; Cabrera, Decker and Ferguson","DevOps, Python, Project Management, Cybersecurity, Java"
B.Sc,"Rodriguez, Parker and Hartman",2022,"Hobbs, Moreno and Hobbs; Abbott, Meadows and Rowe","Blockchain, Web Development, Project Management, Cloud Computing, Data Analysis"
MBA,Sullivan Inc,2003,"Castillo-Wood; Jones-Potter; Anderson, Ferguson and Stephens; Scott, Smith and Christian; Davis-Johnson","SQL, Data Analysis, AI, Cybersecurity, Cloud Computing"
B.Sc,Young Inc,2016,"Thompson, Oneill and Navarro; Russell, Roth and Richardson; Anderson-Bryant; Brennan-Dixon","Cybersecurity, Python, Project Management, Machine Learning, DevOps, Blockchain"
MBA,Graham Inc,2002,"Gonzalez Inc; Jackson, Morris and Chen; Bridges-Garcia; Hamilton, Kaiser and Nelson; White-Leon","Java, Machine Learning, Blockchain, Cloud Computing, Project Management"
B.Tech,"Simon, Vang and Ramirez",2010,"Campbell-Bernard; Jones Group; Smith-Hopkins; Nicholson-Meyer; Baker, Davis and Robinson","Machine Learning, DevOps, Web Development, Python, Blockchain, Java, Project Management"
B.Sc,"Miller, Cortez and Harris",2007,"Martinez-Williams; Mclean LLC; Johnson, Hernandez and Warner; Mcguire PLC","AI, Blockchain, SQL, Cybersecurity, Web Development"
M.Tech,Flores-Smith,2017,Scott-Carroll,"Web Development, AI, SQL, Project Management, DevOps, C++"
B.Sc,Martinez LLC,2009,"Thompson, Chen and Thomas; Brooks, Bernard and Martinez; Johnson, Dougherty and Anderson; Rodriguez Ltd","Cybersecurity, C++, Java, Project Management, AI, SQL, Machine Learning"
PhD,Nguyen LLC,2017,"Stone-Brown; Perez-Carr; Cook LLC; Mcpherson, Campbell and White","Deep Learning, Web Development, C++, Mobile Development"
Diploma,Greene-Weaver,2002,"Hess, Wade and Roberts; Davis, Sanchez and Murphy; Black Ltd","Mobile Development, Data Analysis, Deep Learning, Cybersecurity, SQL, Cloud Computing, Python"
MBA,Johnson LLC,2007,"Hoffman, Heath and Werner; Hammond-Larson; Rodgers Inc","Cybersecurity, AI, Deep Learning, Mobile Development, Project Management"
M.Tech,Moore-Taylor,2008,"Moore, Meyer and Jones; Spence and Sons; Shaw-Carr; Hatfield, Evans and Peterson","Blockchain, Mobile Development, SQL, Java"
PhD,Williams-Daugherty,2005,"Young and Sons; Jackson, Mahoney and Evans; Gamble-Vang; Lopez Inc","AI, SQL, DevOps, Cloud Computing"
MBA,Matthews-Torres,2008,Moore Ltd; Lopez-Bates; Robles PLC; Taylor Inc,"Blockchain, Web Development, DevOps, SQL, Cybersecurity"
MBA,Brown and Sons,2016,"King, Greene and Morales; Reeves-Gonzales; Brown, Morris and Richardson","Cybersecurity, Web Development, Deep Learning, AI"
B.Sc,"Simmons, Mclean and Lynch",2019,"Austin-Thomas; Cunningham, Prince and Williams","Data Analysis, AI, DevOps, Web Development"
Diploma,"Bradford, Johnson and Lopez",2013,"Mccarthy-Humphrey; Roberts, Stout and Weaver","Python, DevOps, Cloud Computing, Mobile Development, Cybersecurity, SQL, Data Analysis"
B.Tech,"Nolan, Torres and Todd",2010,"Pearson LLC; Fisher, Daniel and Sellers; Goodwin-Jackson","Java, Deep Learning, Project Management, Web Development, AI, Cloud Computing"
MBA,Pratt-Schmitt,2015,"Tucker, Reeves and Wood; Thompson Group; Wagner-Rivera; Reyes Inc; Singh-Park","AI, Data Analysis, Deep Learning, Project Management, Cybersecurity, DevOps, Blockchain"
Diploma,"Decker, Brown and Gomez",2008,White Ltd; Robinson-Smith; Jones and Sons; Martin-Barrera,"Cybersecurity, Data Analysis, Blockchain, Deep Learning, C++, Machine Learning"
B.Sc,Montoya and Sons,2001,"Davis Group; Adkins, Howard and Scott","Machine Learning, Cloud Computing, DevOps, C++, Data Analysis"
M.Tech,"Pruitt, Foster and Miller",2009,Johnson PLC; Kennedy Group; Lee-Drake,"Data Analysis, Python, Mobile Development, SQL"
MBA,"Hill, Turner and Richards",2009,Smith Ltd,"Mobile Development, C++, Cloud Computing, Python, DevOps, Machine Learning"
M.Sc,Miller-Bell,2003,Parsons Group; Khan-Hall; Deleon-Chavez; Huffman-Owen; Holland PLC,"Cybersecurity, Mobile Development, Web Development, SQL, Java, Blockchain"
M.Tech,"Lloyd, Smith and Davis",2020,"Ware PLC; Simmons-Bailey; Huff, Wallace and Sanchez; Robinson-Flores; Garcia and Sons","Mobile Development, Cloud Computing, Machine Learning, Web Development, AI, C++"
B.Tech,Lambert-Chen,2011,"Franklin, Middleton and Stone","Blockchain, Deep Learning, Data Analysis, Project Management, C++, Machine Learning, Mobile Development"
M.Tech,Skinner-Calhoun,2014,"Merritt-Ruiz; Thompson, Clark and Cohen","DevOps, Python, SQL, C++"
M.Tech,"Porter, Hernandez and West",2017,Gentry Group; Ramirez-Smith; Jones-Hall,"Java, Data Analysis, SQL, Cybersecurity, Cloud Computing"
PhD,Torres-Williams,2021,Brown-Paul,"DevOps, C++, SQL, Machine Learning, Web Development, Mobile Development, Deep Learning"
B.Sc,Johnson and Sons,2015,"Jimenez-Lopez; Colon, Wood and Tran; Lee and Sons; Diaz Ltd","AI, Cloud Computing, Mobile Development, Python, Cybersecurity"
MBA,Cooke PLC,2008,"Dunn, Roberson and Douglas; Hughes-Mays; Velasquez-Sullivan; Hunter PLC; Valdez-Green","SQL, DevOps, Cloud Computing, Data Analysis, Python, Java, Deep Learning"
MBA,Davenport-Perez,2006,"Tucker-Sanchez; Wagner, Salinas and Khan; Rodriguez, Marshall and Pace; Rojas-Mccullough","Cloud Computing, Python, AI, C++, Java, Project Management, Cybersecurity"
Diploma,Sampson-Lee,2022,Martinez LLC; Wade-Todd; Dominguez Inc,"Java, Blockchain, Web Development, AI"
Diploma,Diaz-Hamilton,2011,"Frye-King; Sanders, Gallegos and Brown","Python, Blockchain, Project Management, AI, Mobile Development, SQL"
M.Tech,"Hughes, Barrett and Dixon",2004,"Smith, Levy and White; Yu Inc","Cloud Computing, Data Analysis, C++, AI, SQL, Deep Learning, Machine Learning"
PhD,Hicks Group,2007,Rangel-Gonzalez,"Cybersecurity, Cloud Computing, Project Management, AI, Blockchain, Python"
M.Sc,Martinez PLC,2007,Patel Group; Bass and Sons; Thompson Group; Phillips-Martin; Black Inc,"Cloud Computing, DevOps, AI, Blockchain, C++"
PhD,Edwards-Gregory,2020,"Smith Inc; Russo, Johnson and Quinn; Nguyen, Henry and Martin; James-Bailey","Blockchain, AI, Python, Machine Learning"
M.Sc,"Robbins, Garza and Lowe",2022,Ryan and Sons; Allen-Brown; Schultz Ltd; Garcia Ltd,"Cybersecurity, SQL, Mobile Development, Project Management, Data Analysis, Java, Web Development"
MBA,Turner-Garcia,2024,"Williams and Sons; Graham-Martin; Bennett, Smith and Harris; Doyle, Rodriguez and Nicholson; Howell, Stafford and Parrish","Mobile Development, Cloud Computing, Cybersecurity, C++, Project Management"
B.Tech,"Dyer, Clements and Ayala",2023,"Porter Group; Parker PLC; Galvan, Frank and Hanson; Wheeler and Sons","Mobile Development, Java, Blockchain, Web Development, Machine Learning, Deep Learning"
M.Sc,Wilson-Vargas,2008,"Bishop, Foley and Little","DevOps, Data Analysis, SQL, AI, Mobile Development, Blockchain, Deep Learning"
Diploma,Thompson LLC,2004,Carpenter Ltd,"Machine Learning, Project Management, Web Development, Blockchain, AI, C++, Cloud Computing"
M.Sc,"Martinez, Patterson and Smith",2014,Klein-Bryant,"Deep Learning, Cloud Computing, Python, Blockchain"
PhD,"Stevens, Larsen and Alexander",2024,"Fleming-Peterson; Powell, Morris and Wong","Cloud Computing, Web Development, Java, Project Management"
B.Sc,Orr Group,2012,"Patel and Sons; Richards-Flores; Howard LLC; Fox, Wallace and Flores; Palmer LLC","Mobile Development, SQL, Web Development, DevOps, Cloud Computing, Python, AI"
M.Sc,Gray Ltd,2006,"Rodgers-Perez; Green LLC; Thomas, Brown and Rodriguez","Data Analysis, Web Development, Blockchain, SQL, Cybersecurity"
M.Sc,Petersen-Brown,2023,"Wolfe Inc; Carr, Anderson and Grant; Navarro, Dean and Davis","Data Analysis, Deep Learning, SQL, DevOps"
B.Sc,Smith-Baker,2018,Villanueva Inc; Reynolds-Perez; Martinez-Miller,"Cloud Computing, Python, Blockchain, SQL"
B.Sc,"Watts, Brown and Wilkins",2024,"Brown Inc; Padilla-Tran; Ramirez Ltd; Taylor PLC; Vasquez, Hall and Wong","Machine Learning, Web Development, AI, C++, DevOps, SQL, Deep Learning"
Diploma,Nguyen Group,2011,"Kent-Allen; Joyce, Williams and Barajas; Schmidt-Williams; Henderson-White","Project Management, DevOps, Python, Deep Learning, SQL, Web Development, C++"
MBA,Romero-Benton,2002,"Boyd, Peters and Rodriguez; Reed PLC; Hardy, Peterson and Allen; Butler Group; Stewart-Ryan","Project Management, Cloud Computing, Cybersecurity, Data Analysis, SQL, Deep Learning"
PhD,Patterson Ltd,2013,"Hall-Price; Gamble, Harris and Huffman","Cybersecurity, Blockchain, Java, AI"
MBA,"Guerra, Moss and Herrera",2003,"Martin, Hawkins and Walker; Davis, Collins and Johnson; Farrell and Sons","DevOps, Machine Learning, Web Development, Blockchain"
M.Sc,Lee PLC,2005,"Fisher, Tran and Norton; Hodge Inc; Stevens, Melendez and Potts; Jones Group","Python, Project Management, C++, SQL, Web Development, DevOps, Machine Learning"
B.Sc,Carlson Inc,2000,"Shaw, Sanchez and Donovan; Bullock, Moore and Gray; Adams Inc","C++, Machine Learning, Mobile Development, Cybersecurity"
PhD,Wilcox-Parker,2007,"Garcia Group; Green, House and Schneider","DevOps, SQL, Machine Learning, Java"
Diploma,Howard-Norris,2016,Clark-Henderson; Gill-Simpson,"Cybersecurity, AI, DevOps, Web Development"
B.Tech,Green-Moore,2019,"Rogers, Anderson and Baker; Sharp-Oneal; House, Pitts and Ramos; Pace-Morales","Java, DevOps, C++, Cloud Computing"
B.Sc,Hernandez PLC,2023,"Curry-Zuniga; Zamora, Lane and Welch","Mobile Development, Python, Cybersecurity, C++"
Diploma,Reilly Ltd,2014,"Rivera, Cook and Case; Hampton-Soto; Simpson-Nash; Kent, Luna and Lindsey","SQL, Web Development, Cybersecurity, Data Analysis"
M.Sc,Williams-Mccullough,2001,Gordon-Jones; Clark PLC,"Blockchain, Deep Learning, Java, Project Management, Web Development, Data Analysis, Mobile Development"
